PRODUTO;PRINCÍPIO ATIVO;LABORATÓRIO;TIPO DE PRODUTO (STATUS DO PRODUTO);TARJA
CEWIN;ÁCIDO ASCÓRBICO;SANOFI-AVENTIS FARMACÊUTICA LTDA;Específico;Tarja Vermelha
A CURITYBINA;ÁCIDO SALICÍLICO;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Similar;Tarja Vermelha
A SAÚDE DA MULHER;NI;EMS S/A;Novo;Tarja Vermelha sob restrição
AAS;ÁCIDO ACETILSALICÍLICO;SANOFI-AVENTIS FARMACÊUTICA LTDA;Similar;Venda Livre
AAS PROTECT;ÁCIDO ACETILSALICÍLICO;SANOFI-AVENTIS FARMACÊUTICA LTDA;Similar;Venda Livre
ABBA;ACETATO DE ABIRATERONA;SUN FARMACÊUTICA DO BRASIL LTDA;Similar;Tarja Vermelha
ABC;CLOTRIMAZOL;KLEY HERTZ FARMACEUTICA S.A;Similar;Venda Livre
ABCLER ABNAT;"CITRATO DE COLINA;BETAÍNA;DL-METIONINA";AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;Específico;Tarja Vermelha
ABELCET;ANFOTERICINA B;TEVA FARMACÊUTICA LTDA.;Novo (Referência);Venda Livre
ABILIFY;ARIPIPRAZOL;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;Novo;Venda Livre
ABLOK;ATENOLOL;BIOLAB SANUS FARMACÊUTICA LTDA;Similar;Tarja Preta
ABLOK PLUS;"CLORTALIDONA;ATENOLOL";BIOLAB SANUS FARMACÊUTICA LTDA;Similar;Venda Livre
ABRAXANE;PACLITAXEL;CELGENE BRASIL PRODUTOS FARMACÊUTICOS LTDA.;Novo;Tarja Vermelha
ABRETIA;CLORIDRATO DE DULOXETINA;FARMOQUÍMICA S/A;Similar;Tarja Vermelha
ÁC. ACETILSALIC.;ÁCIDO ACETILSALICÍLICO;LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE;Similar;Venda Livre
ACARSAN;BENZOATO DE BENZILA;BIOSINTÉTICA FARMACÊUTICA LTDA;Similar (Referência);Tarja Vermelha
ACCUVIT;"ÓXIDO DE ZINCO;ÓXIDO CÚPRICO;ÁCIDO ASCÓRBICO;SELENATO DE SÓDIO;RIBOFLAVINA;BETACAROTENO;ACETATO DE RACEALFATOCOFEROL";ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Específico;Tarja Vermelha
ACEBROFILINA;ACEBROFILINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;EMS S/A;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;EUROFARMA LABORATÓRIOS S.A.;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;LABORATÓRIO GLOBO LTDA;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;PRATI DONADUZZI & CIA LTDA;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Venda Livre
ACEBROFILINA;ACEBROFILINA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;    -     ;Venda Livre
ACEBROFILINA;ACEBROFILINA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;EMS S/A;Genérico;Tarja Vermelha
ACECLOFENACO;ACECLOFENACO;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
ACECLOFENACO;ACECLOFENACO;RANBAXY FARMACÊUTICA LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;ZYDUS NIKKHO FARMACÊUTICA LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACECLOFENACO;ACECLOFENACO;EMS S/A;Genérico;Venda Livre
ACECLO-GRAN;ACECLOFENACO;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Venda Livre
ACEFLOR;ACECLOFENACO;NOVA QUIMICA FARMACÊUTICA S/A;Similar;Venda Livre
ACERATUM;PERÓXIDO DE URÉIA;CELLERA FARMACÊUTICA S.A.;Similar;Tarja Vermelha
ACERTANLO;"PERINDOPRIL ARGININA;BESILATO DE ANLODIPINO";LABORATÓRIOS SERVIER DO BRASIL LTDA;Novo;Tarja Vermelha
ACERTIL;PERINDOPRIL;LABORATÓRIOS SERVIER DO BRASIL LTDA;Novo;Tarja Vermelha
ACESYL;CLORIDRATO DE TIAMINA;CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;Específico;Tarja Vermelha
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;Genérico;Tarja Vermelha
ACETATO DE ABIRATERONA;ACETATO DE ABIRATERONA;SUN FARMACÊUTICA DO BRASIL LTDA;Genérico;Tarja Vermelha
ACETATO DE ATOSIBANA;ACETATO DE ATOSIBANA;LABORATÓRIOS FERRING LTDA;Novo;Tarja Vermelha
ACETATO DE ATOSIBANA;ACETATO DE ATOSIBANA;ACCORD FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACETATO DE CASPOFUNGINA;ACETATO DE CASPOFUNGINA;EUROFARMA LABORATÓRIOS S.A.;Genérico;Venda Livre
ACETATO DE CIPROTERONA;ACETATO DE CIPROTERONA;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;Genérico;Tarja Vermelha
ACETATO DE CIPROTERONA+ETINILESTRADIOL;ETINILESTRADIOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Tarja Vermelha
ACETATO DE CIPROTERONA+ETINILESTRADIOL;"ETINILESTRADIOL;ACETATO DE CIPROTERONA";MABRA FARMACÊUTICA LTDA.;Genérico;Tarja Vermelha
ACETATO DE CIPROTERONA+ETINILESTRADIOL;"ETINILESTRADIOL;ACETATO DE CIPROTERONA";INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.;Genérico;Tarja Vermelha
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;"SULFATO DE NEOMICINA;ACETATO DE CLOSTEBOL";SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
ACETATO DE DESMOPRESSINA;ACETATO DE DESMOPRESSINA;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;Genérico;Tarja Vermelha
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;EMS S/A;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;LABORATÓRIO GLOBO LTDA;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;PRATI DONADUZZI & CIA LTDA;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;SANVAL COMÉRCIO E INDÚSTRIA LTDA;Genérico;Venda Livre
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Venda Livre
ACETATO DE HIDROCORTISONA;ACETATO DE HIDROCORTISONA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
ACETATO DE HIDROCORTISONA;ACETATO DE HIDROCORTISONA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Venda Livre
ACETATO DE PREDNISOLONA;ACETATO DE PREDNISOLONA;NOVARTIS BIOCIENCIAS S.A;Genérico;Tarja Vermelha
ACETATO DE PREDNISOLONA;ACETATO DE PREDNISOLONA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
ACETATO DE SÓDIO;ACETATO DE SÓDIO TRI-HIDRATADO;CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;Específico;Tarja Vermelha
ACETAZONA;DEXAMETASONA;THEODORO F SOBRAL & CIA LTDA;Similar;Venda Livre
ACETAZONA;DEXAMETASONA;THEODORO F SOBRAL & CIA LTDA;Similar;Tarja Vermelha
ACETICIL;ÁCIDO ACETILSALICÍLICO;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;Similar;Venda Livre
ACETILCISTEINA;ACETILCISTEÍNA;EUROFARMA LABORATÓRIOS S.A.;Genérico;Venda Livre
ACETILCISTEINA;ACETILCISTEÍNA;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;BLAU FARMACÊUTICA S.A.;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;EMS S/A;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;EUROFARMA LABORATÓRIOS S.A.;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;PRATI DONADUZZI & CIA LTDA;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Venda Livre
ACETILCISTEÍNA;ACETILCISTEÍNA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACETILDOR;ÁCIDO ACETILSALICÍLICO;THEODORO F SOBRAL & CIA LTDA;Similar;Venda Livre
ACETO.TRIA+SULF NEO+GRAM+NIST;"TRIANCINOLONA ACETONIDA;SULFATO DE NEOMICINA;NISTATINA;GRAMICIDINA";EMS S/A;Genérico;Tarja Vermelha
ACETOFLUX;ACETATO DE MEDROXIPROGESTERONA;EMS S/A;Similar;Tarja Vermelha
ACETONIDA DE TRIANCINOLONA;TRIANCINOLONA ACETONIDA;EMS S/A;Genérico;Tarja Vermelha
ACETONIDA DE TRIANCINOLONA;TRIANCINOLONA ACETONIDA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
ACETONIDA DE TRIANCINOLONA;TRIANCINOLONA ACETONIDA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA;"TRIANCINOLONA ACETONIDA;SULFATO DE NEOMICINA;NISTATINA;GRAMICIDINA";GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA;"TRIANCINOLONA ACETONIDA;SULFATO DE NEOMICINA;NISTATINA;GRAMICIDINA";LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACETONIDA TRIANCINOLONA;TRIANCINOLONA ACETONIDA;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
ACETONIDO DE TRIANCINOLONA;TRIANCINOLONA ACETONIDA;PRATI DONADUZZI & CIA LTDA;Genérico;Tarja Vermelha
ACFOL;ÁCIDO FÓLICO;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;Específico;Tarja Vermelha
ACICLOFAR;ACICLOVIR;BELFAR LTDA;Similar;Venda Livre
ACICLOFAR;ACICLOVIR;BELFAR LTDA;Similar;Tarja Vermelha
ACICLOMED;ACICLOVIR;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Similar;Venda Livre
ACICLOMED;ACICLOVIR;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Similar;Tarja Vermelha
ACICLOR;ACICLOVIR;KLEY HERTZ FARMACEUTICA S.A;Similar;Venda Livre
ACICLOVIR;ACICLOVIR;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;BELFAR LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;BLAU FARMACÊUTICA S.A.;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;EMS S/A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;EUROFARMA LABORATÓRIOS S.A.;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR SÓDICO;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;MERCK S/A;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;MERCK S/A;Genérico (Referência);Tarja Vermelha
ACICLOVIR;ACICLOVIR;MERCK S/A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;1FARMA INDUSTRIA FARMACEUTICA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;1FARMA INDUSTRIA FARMACEUTICA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;PRATI DONADUZZI & CIA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;PRATI DONADUZZI & CIA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;RANBAXY FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
ACICLOVIR;ACICLOVIR;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
ACICLOVIR;ACICLOVIR;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Tarja Vermelha
ÁCIDO ACETILSALICÍLICO;ÁCIDO ACETILSALICÍLICO;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Venda Livre
ÁCIDO ACETILSALICÍLICO;ÁCIDO ACETILSALICÍLICO;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico (Referência);Venda Livre
ÁCIDO ACETILSALICÍLICO;ÁCIDO ACETILSALICÍLICO;EMS S/A;Genérico;Venda Livre
ÁCIDO ACETILSALICÍLICO;ÁCIDO ACETILSALICÍLICO;LABORATÓRIO GLOBO LTDA;Genérico;Venda Livre
ÁCIDO ASCÓRBICO HYPOFARMA;ÁCIDO ASCÓRBICO;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;Específico;Tarja Vermelha
ÁCIDO FUSÍDICO;ÁCIDO FUSÍDICO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Venda Livre
ÁCIDO FUSÍDICO;ÁCIDO FUSÍDICO;PRATI DONADUZZI & CIA LTDA;Genérico;Venda Livre
ÁCIDO FUSÍDICO + VALERATO DE BETAMETASONA;"ÁCIDO FUSÍDICO;VALERATO DE BETAMETASONA";NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
